DATE;LFEMTTTTATQ647S;LFEMTTTTAUQ647S;LFEMTTTTBEQ647S;LFEMTTTTCAQ647S;LFEMTTTTCHQ647S;LFEMTTTTDEQ647S;LFEMTTTTDKQ647S;LFEMTTTTESQ647S;LFEMTTTTFIQ647S;LFEMTTTTFRQ647S;LFEMTTTTGBQ647S;LFEMTTTTGRQ647S;LFEMTTTTIEQ647S;LFEMTTTTISQ647S;LFEMTTTTITQ647S;LFEMTTTTJPQ647S;LFEMTTTTLUQ647S;LFEMTTTTNLQ647S;LFEMTTTTNOQ647S;LFEMTTTTNZQ647S;LFEMTTTTPTQ647S;LFEMTTTTSEQ647S;LFEMTTTTTRQ647S;LFEMTTTTUSQ647S
1983-04-01;3165921,2040000000;6256191,8793333300;3419789,5980000000;10962666,6666667000;;32062189,969987200;;;;;23646000,000000000;;;;;57296666,6666667;;;;;;;;99945000,0000000
1983-07-01;3151676,0570000000;6292133,8920000000;3440641,0540000000;11116933,3333333000;;32054062,222300900;;;;;23809000,000000000;;;;;57366666,6666667;;;;;;;;101610666,6666670
1983-10-01;3163356,1780000000;6350307,7040000000;3459263,5180000000;11170133,3333333000;;32076093,573040200;;;;;23995000,000000000;;;;;57450000,0000000;;;;;;;;102588000,0000000
1984-01-01;3221420,8430000000;6406004,1713333300;3466117,4630000000;11191500,0000000000;;32046788,949027400;;;;;24125000,000000000;;;;;57256666,6666667;;;;;;;;103664000,0000000
1984-04-01;3224095,9940000000;6478633,9583333300;3477863,0930000000;11250266,6666667000;;32106405,434051600;;;;;24246000,000000000;;;;;57583333,3333333;;;;;;;;105040000,0000000
1984-07-01;3248980,5220000000;6518821,3716666700;3486195,4410000000;11355433,3333333000;;32160181,043989100;;;;;24335000,000000000;;;;;57813333,3333333;;;;;;;;105362666,6666670
1984-10-01;3246432,2290000000;6546271,5310000000;3497391,1490000000;11402566,6666667000;;32232569,378817000;;;;;24435000,000000000;;;;;57986666,6666667;;;;;;;;105944333,3333330
1985-01-01;3232148,2520000000;6597084,2550000000;3503432,1520000000;11478666,6666667000;;32209641,495995600;;;;;24515000,000000000;;;;;58053333,3333333;;;;;;;;106615333,3333330
1985-04-01;3242672,8910000000;6639256,3486666700;3516733,1400000000;11571300,0000000000;;32281370,208515900;;;;;24570000,000000000;;;;;58036666,6666667;;;;;;;;106791000,0000000
1985-07-01;3219836,9980000000;6728145,1590000000;3513230,5260000000;11681466,6666667000;;32429796,970304100;;;;;24625000,000000000;;;;;58130000,0000000;;;;;;;;107186333,3333330
1985-10-01;3242232,8460000000;6811410,0336666700;3521652,2200000000;11779700,0000000000;;32511392,204664300;;;;;24660000,000000000;;;;;58070000,0000000;;;;1555000;;;;108023333,3333330
1986-01-01;3254356,1440000000;6888783,2850000000;3510371,6500000000;11892000,0000000000;;32492055,206563900;;;;;24670000,000000000;;;;;58440000,0000000;;;;1623000;;;;108734666,6666670
1986-04-01;3277698,0760000000;6980790,2003333300;3508442,9540000000;11974333,3333333000;;32614719,082679700;;;;;24694000,000000000;;;;;58380000,0000000;;;;1621000;;;;109205666,6666670
1986-07-01;3302025,3210000000;6983947,7086666700;3497612,5050000000;12010366,6666667000;;32803159,038120000;;;;;24770000,000000000;;;;;58646666,6666667;;;;1621000;;;;109970000,0000000
1986-10-01;3281015,6190000000;7017131,7873333300;3483933,4410000000;12066100,0000000000;;32900169,330771500;;;;;24850000,000000000;;;;;58676666,6666667;;;;1609000;;;;110492000,0000000
1987-01-01;3279812,6160000000;7051076,8396666700;3488051,3420000000;12136633,3333333000;;32837858,699750200;;;;;24925000,000000000;;;;;58710000,0000000;;;;1627000;;;;111206000,0000000
1987-04-01;3293428,9110000000;7100112,3160000000;3479307,3050000000;12280566,6666667000;;32908735,214439100;;;;;25110000,000000000;;;;;58920000,0000000;;;;1624000;;;;112158000,0000000
1987-07-01;3303548,6300000000;7153056,9826666700;3492837,7300000000;12382600,0000000000;;33033182,295235400;;;;;25345000,000000000;;;;;59220000,0000000;;;;1627000;;;;112866666,6666670
1987-10-01;3311470,8210000000;7186380,3683333300;3483342,2330000000;12529966,6666667000;;33062782,429336200;;;;;25575000,000000000;;;;;59576666,6666667;;;;1617000;;;;113526666,6666670
1988-01-01;3312907,0930000000;7303024,7250000000;3522712,2520000000;12630566,6666667000;;34469754,760450600;;;;;25795000,000000000;;;;;59713333,3333333;;;;1597000;;;;114093333,3333330
1988-04-01;3298899,8160000000;7354342,3456666700;3533301,7830000000;12682466,6666667000;;34562440,490507900;;;;;25970000,000000000;;;;;60063333,3333333;;;;1580000;;;;114623000,0000000
1988-07-01;3301672,1070000000;7412825,0983333300;3541789,3520000000;12716733,3333333000;;34734698,207700000;;;;;26160000,000000000;;;;;60206666,6666667;;;;1557000;;;;115232666,6666670
1988-10-01;3319518,1680000000;7491847,0273333300;3546095,8820000000;12804066,6666667000;;34780160,031736500;;;;;26355000,000000000;;;;;60433333,3333333;;;;1553000;;;;115947333,3333330
1989-01-01;3325082,2420000000;7594032,9946666700;3581628,9210000000;12953600,0000000000;;34819345,282492000;;;;;26590000,000000000;3654157,4830518200;1111826,1785598700;;;60703333,3333333;;;;1533000;;;;116835333,3333330
1989-04-01;3339830,9810000000;7692713,4220000000;3590649,8310000000;12962000,0000000000;;34967268,290804000;;;;;26730000,000000000;3665148,0695248200;1111271,4042458000;;;61166666,6666667;;;;1517000;;;;117204666,6666670
1989-07-01;3357829,2960000000;7764865,1003333300;3623613,0500000000;13006733,3333333000;;35044954,666534800;;;;;26795000,000000000;3676315,9173577000;1110704,5981304100;;;61503333,3333333;;;;1520000;;;;117493666,6666670
1989-10-01;3344539,2060000000;7822103,4210000000;3626312,7980000000;13056166,6666667000;;35290045,311243300;;;;;26880000,000000000;3688378,5300656600;1110197,8190639200;;;61740000,0000000;;;;1525000;;;;117774333,3333330
1990-01-01;3392041,3430000000;7848976,0426666700;3675368,4190000000;13120800,0000000000;;37002600,664975900;2679390,8579041200;;;;26900000,000000000;3701420,0345171800;1159846,7155237000;;;62080000,0000000;;;;1533000;;;;119114333,3333330
1990-04-01;3391884,7090000000;7888689,8213333300;3684221,9460000000;13125866,6666667000;;37224823,672896300;2672702,4874987200;;;;26934000,000000000;3713941,8281124500;1159308,2033702900;;;62350000,0000000;;;;1543000;;;;118995333,3333330
1990-07-01;3415513,5290000000;7870396,3710000000;3678805,0970000000;13101133,3333333000;;37342518,400559700;2668121,5051610400;;;;26900000,000000000;3726583,9266677400;1158572,5202402600;;;62626666,6666667;;;;1536000;;;;118712000,0000000
1990-10-01;3450311,9490000000;7817460,9946666700;3681601,8340000000;12986433,3333333000;;37301670,558223100;2667785,1494361200;;;;26750000,000000000;3734054,2107026300;1158272,5608657500;;;62910000,0000000;;;;1527000;;;;118361000,0000000
1991-01-01;3466447,9660000000;7735635,2926666700;3713554,1260000000;12849500,0000000000;;37183292,777635100;2652965,9317012400;;;;26530000,000000000;3615974,5357868000;1154616,1860608500;;;63300000,0000000;;;;1519000;;;;117782333,3333330
1991-04-01;3460025,9750000000;7682607,2816666700;3721743,2330000000;12872300,0000000000;;36956759,243597100;2646254,7789625600;;;;26276000,000000000;3626264,3871642800;1155625,0990002700;;;63590000,0000000;;;;1513000;;;;117729333,3333330
1991-07-01;3465641,7840000000;7637377,5936666700;3768861,3020000000;12867966,6666667000;;36668939,260639600;2643967,9892308600;;;;26025000,000000000;3637448,4118156000;1156179,0116502700;;;63846666,6666667;;;;1505000;;;;117660000,0000000
1991-10-01;3493436,3760000000;7610007,1156666700;3771675,2220000000;12831466,6666667000;;36674008,718128200;2644811,3001053300;;;;25820000,000000000;3652312,6652333200;1157579,7032886100;;;64006666,6666667;;;;1499000;;;;117678666,6666670
1992-01-01;3527658,8380000000;7638056,7273333300;3755806,5580000000;12768800,0000000000;;36545742,607386300;2654302,9393893000;;;;25710000,000000000;3662227,1080113600;1160719,2125100300;;;64343333,3333333;;;;1508000;;;;117958333,3333330
1992-04-01;3536188,2220000000;7626390,5613333300;3763449,1000000000;12728266,6666667000;;36443898,455099800;2648252,2344727200;;;;25605420,670000000;3676975,5846901200;1162505,8368100900;;;64186666,6666667;;;;1518000;;;;118406666,6666670
1992-07-01;3557067,8380000000;7652380,1916666700;3758867,8030000000;12708766,6666667000;;36320648,524324200;2642412,3573515900;;;;25509004,980000000;3691005,1925837000;1165986,9424441800;;;64280000,0000000;;;;1511000;;;;118753000,0000000
1992-10-01;3548334,8460000000;7604397,0910000000;3761625,6170000000;12713233,3333333000;;36248710,413189700;2643032,4687863900;;;;25335707,760000000;3705792,1147148300;1170788,0082357000;;;64640000,0000000;;;;1518000;;;;118833666,6666670
1993-01-01;3540689,0710000000;7621430,2476666700;3740241,7730000000;12766300,0000000000;;36146972,761208200;2600633,7485175300;;;;25282289,160000000;3696529,4895829500;1172431,2230913800;;;64360000,0000000;;;;1526000;;;;119297333,3333330
