DATE	RKNANPATA666NRUG	RKNANPAUA666NRUG	RKNANPBEA666NRUG	RKNANPCAA666NRUG	RKNANPCHA666NRUG	RKNANPDEA666NRUG	RKNANPDKA666NRUG	RKNANPESA666NRUG	RKNANPFIA666NRUG	RKNANPFRA666NRUG	RKNANPGBA666NRUG	RKNANPGRA666NRUG	RKNANPIEA666NRUG	RKNANPISA666NRUG	RKNANPITA666NRUG	RKNANPJPA666NRUG	RKNANPLUA666NRUG	RKNANPNLA666NRUG	RKNANPNOA666NRUG	RKNANPNZA666NRUG	RKNANPPTA666NRUG	RKNANPSEA666NRUG	RKNANPTRA666NRUG	RKNANPUSA666NRUG
2010-01-01	2594565.25000	4723137.5000	3049579.2500	6997022.5000	2896270.7500	19046654.000	1454684.375000	10828597.0000	1112684.8750000	16233566.00	13608539.00	2773865.75000	1202053.1250000	88985.7265625000	18444618.000	25730568.0000	223995.09375000	4340137.0000	1393712.375000	528833.3125000	2869750.500000	2500860.7500	5864574.000000	61054676
2011-01-01	2624820.00000	4886939.5000	3095370.7500	7201986.5000	2926518.0000	19250232.000	1461774.000000	10951607.0000	1132421.6250000	16442441.00	13738177.00	2759982.50000	1216262.3750000	88345.6953125000	18583714.000	25674478.0000	230340.32812500	4387491.5000	1423790.125000	538761.3750000	2883219.250000	2524020.0000	6262000.000000	61672640
2012-01-01	2654030.25000	5051751.5000	3140175.0000	7422571.0000	2961632.7500	19440828.000	1471092.375000	11031377.0000	1151527.1250000	16643018.00	13874200.00	2732633.50000	1239336.8750000	87932.8750000000	18642106.000	25655914.0000	236680.04687500	4418095.0000	1459120.000000	549421.0625000	2878642.500000	2543576.2500	6653204.500000	62435632
2013-01-01	2683170.25000	5203163.5000	3179373.2500	7642910.0000	2994462.0000	19611998.000	1481715.000000	11088036.0000	1167279.0000000	16827312.00	14028312.00	2704918.50000	1256005.7500000	87618.3125000000	18654624.000	25688360.0000	242742.43750000	4442651.5000	1498955.750000	562278.0625000	2870316.750000	2562083.0000	7124775.000000	63232936
2014-01-01	2709583.25000	5336625.0000	3225793.2500	7867178.5000	3028774.2500	19804594.000	1493647.125000	11158639.0000	1181666.1250000	17002714.00	14220592.00	2677834.00000	1284525.8750000	87778.2031250000	18655946.000	25749980.0000	249669.89062500	4460254.0000	1537187.625000	576891.3125000	2864391.000000	2586377.5000	7612426.000000	64124208
2015-01-01	2737204.75000	5454116.5000	3275991.5000	8058122.0000	3064308.2500	20002378.000	1508527.250000	11245735.0000	1196079.3750000	17175696.00	14437759.00	2652249.50000	1352987.1250000	88575.6562500000	18669296.000	25821588.0000	255230.18750000	4530820.0000	1570515.500000	591705.0625000	2863487.750000	2617171.0000	8153165.000000	65057808
2016-01-01	2768281.50000	5568053.0000	3330369.0000	8222411.5000	3102424.0000	20223006.000	1528214.125000	11336348.0000	1215640.2500000	17357436.00	14673724.00	2629300.00000	1476129.7500000	89909.8359375000	18707206.000	25880770.0000	261006.03125000	4575103.5000	1606412.750000	606583.6250000	2864199.250000	2650510.2500	8684472.000000	65974060
2017-01-01	2802257.00000	5693316.5000	3383567.0000	8399451.0000	3143936.2500	20453236.000	1549657.875000	11452465.0000	1237802.2500000	17562928.00	14915072.00	2612084.00000	1580245.8750000	91529.6328125000	18760780.000	25966408.0000	266885.18750000	4626151.5000	1643297.875000	623105.2500000	2874240.000000	2688589.5000	9267062.000000	66942704
2018-01-01	2838835.75000	5809769.0000	3439590.0000	8580742.0000	3183201.0000	20701212.000	1573451.500000	11590919.0000	1261921.8750000	17778742.00	15145127.00	2591668.25000	1659333.1250000	92957.7187500000	18828844.000	26049552.0000	271953.96875000	4683135.5000	1681167.750000	640016.8750000	2888201.250000	2725292.2500	9818555.000000	68007352
2019-01-01	2878111.25000	5913514.0000	3498441.5000	8757840.0000	3221460.2500	20957202.000	1598105.750000	11733525.0000	1284489.2500000	18013436.00	15374464.00	2569462.50000	1859457.3750000	94027.3906250000	18900204.000	26138818.0000	277529.21875000	4748428.0000	1723175.250000	656923.6250000	2905442.500000	2757360.2500	10213821.000000	69059072
