PERMNO,DATE,COMNAM,TICKER,PRC,VOL,NUMTRD,RET,RETX
83596,20080115,ELECTRONIC DATA SYS CORP NEW,EDS,17.86000,3745100,,-0.029348,-0.029348
83596,20080116,ELECTRONIC DATA SYS CORP NEW,EDS,18.28000,4005900,,0.023516,0.023516
83596,20080117,ELECTRONIC DATA SYS CORP NEW,EDS,18.20000,5071800,,-0.004376,-0.004376
83596,20080118,ELECTRONIC DATA SYS CORP NEW,EDS,18.38000,5037500,,0.009890,0.009890
83596,20080122,ELECTRONIC DATA SYS CORP NEW,EDS,18.06000,4955700,,-0.017410,-0.017410
83596,20080123,ELECTRONIC DATA SYS CORP NEW,EDS,18.22000,5133900,,0.008859,0.008859
83596,20080124,ELECTRONIC DATA SYS CORP NEW,EDS,18.68000,3606000,,0.025247,0.025247
83596,20080125,ELECTRONIC DATA SYS CORP NEW,EDS,18.84000,3802600,,0.008565,0.008565
83596,20080128,ELECTRONIC DATA SYS CORP NEW,EDS,18.95000,2423800,,0.005839,0.005839
83596,20080129,ELECTRONIC DATA SYS CORP NEW,EDS,19.67000,2826200,,0.037995,0.037995
83596,20080130,ELECTRONIC DATA SYS CORP NEW,EDS,19.58000,2579300,,-0.004576,-0.004576
83596,20080131,ELECTRONIC DATA SYS CORP NEW,EDS,20.10000,3457500,,0.026558,0.026558
83596,20080201,ELECTRONIC DATA SYS CORP NEW,EDS,20.63000,4757100,,0.026368,0.026368
83596,20080204,ELECTRONIC DATA SYS CORP NEW,EDS,20.39000,2819700,,-0.011634,-0.011634
83596,20080205,ELECTRONIC DATA SYS CORP NEW,EDS,19.34000,4576000,,-0.051496,-0.051496
83596,20080206,ELECTRONIC DATA SYS CORP NEW,EDS,19.61000,3485800,,0.013961,0.013961
83596,20080207,ELECTRONIC DATA SYS CORP NEW,EDS,17.90000,8410000,,-0.087200,-0.087200
83596,20080208,ELECTRONIC DATA SYS CORP NEW,EDS,17.16000,6279300,,-0.041341,-0.041341
83596,20080211,ELECTRONIC DATA SYS CORP NEW,EDS,18.05000,5733600,,0.051865,0.051865
83596,20080212,ELECTRONIC DATA SYS CORP NEW,EDS,18.03000,5468900,,-0.001108,-0.001108
83596,20080213,ELECTRONIC DATA SYS CORP NEW,EDS,18.47000,3630100,,0.024404,0.024404
83596,20080214,ELECTRONIC DATA SYS CORP NEW,EDS,18.35000,3928600,,-0.006497,-0.006497
83596,20080215,ELECTRONIC DATA SYS CORP NEW,EDS,18.71000,4752900,,0.022343,0.019618
83596,20080219,ELECTRONIC DATA SYS CORP NEW,EDS,18.32000,3961600,,-0.020844,-0.020844
83596,20080220,ELECTRONIC DATA SYS CORP NEW,EDS,18.45000,5946800,,0.007096,0.007096
